,Group
ERR4682897,1
ERR3562865,1
ERR4682889,1
ERR3562870,1
ERR3562869,1
ERR3562850,1
ERR3562853,1
ERR3562868,1
ERR3562864,1
ERR4682398,1
ERR3562836,1
ERR3562863,1
ERR3562854,1
ERR3562862,1
ERR3562843,1
ERR3562851,1
ERR3562848,1
ERR3562846,1
ERR3562847,1
ERR3562845,1
ERR3562844,1
ERR3562839,1
ERR3562838,1
ERR3562860,1
ERR3562842,1
ERR3562876,1
ERR3562891,1
ERR3562888,1
ERR3562875,1
ERR3562895,1
ERR3562856,1
ERR3562857,1
ERR3562874,1
ERR3562859,1
ERR3562873,1
ERR3562893,1
ERR3562855,1
ERR3562841,1
ERR3562872,1
ERR3562871,1
ERR3562897,1
ERR3562840,1
ERR3562885,1
ERR3562882,1
ERR3562858,1
SRR14120361,1
SRR14120362,1
SRR14120363,1
SRR14120364,1
SRR14120365,1
SRR14120366,1
SRR14120367,1
SRR14120368,1
SRR14120369,1
SRR15237466,1
SRR15237465,1
SRR15237464,1
SRR15237463,1
SRR15237462,1
SRR15237461,1
SRR15237458,1
SRR15237457,1
SRR15237456,1
SRR15237455,1
SRR15237454,1
SRR15237453,1
SRR15237452,1
SRR15237451,1
SRR15237450,1
SRR15237449,1
SRR15237448,1
SRR15237447,1
SRR15237446,1
SRR15237445,1
SRR15237444,1
SRR15237443,1
SRR13225485,1
SRR13225484,1
SRR13225483,1
SRR13225482,1
SRR13225481,1
SRR13225480,1
SRR13225479,1
SRR13225478,1
SRR13225477,1
SRR13225476,1
SRR13225475,1
SRR13225474,1
SRR13225473,1
SRR13225472,1
SRR13225471,1
SRR13225470,1
SRR13225469,1
SRR13225468,1
SRR13225467,1
SRR13225466,1
SRR13225465,1
SRR13225464,1
SRR13225463,1
SRR13225462,1
SRR13225461,1
SRR13225460,1
SRR13225459,1
SRR13225458,1
SRR13225457,1
SRR13225456,1
SRR13225455,1
SRR13225454,1
SRR13225453,1
SRR13225452,1
SRR13225451,1
SRR13225450,1
SRR13225449,1
SRR13225448,1
SRR13225447,1
SRR10571256,1
SRR10571255,1
SRR10571254,1
SRR10571253,1
SRR10571252,1
SRR10571251,1
SRR10571250,1
SRR10571249,1
SRR10571248,1
SRR10571246,1
SRR10571245,1
SRR10571244,1
SRR10571243,1
SRR10571242,1
SRR10571241,1
SRR10571240,1
SRR10571239,1
SRR10571238,1
SRR10571237,1
SRR10571214,1
SRR10571213,1
SRR10571212,1
SRR10571211,1
SRR10571210,1
SRR10571209,1
SRR10571208,1
SRR10571207,1
SRR10571206,1
SRR10571205,1
SRR10132701,1
SRR10132699,1
SRR10132698,1
SRR10132697,1
SRR10132696,1
SRR10132695,1
SRR10132694,1
SRR10132693,1
SRR10132692,1
SRR10132691,1
SRR10132690,1
SRR10132688,1
SRR10132687,1
SRR10132686,1
SRR10132685,1
SRR10132684,1
SRR10132683,1
SRR10132682,1
SRR10132681,1
SRR10132680,1
SRR10132679,1
SRR10132677,1
SRR10132676,1
SRR10132675,1
SRR10132674,1
SRR10132673,1
SRR10132672,1
SRR10132671,1
SRR10132670,1
SRR10132669,1
SRR10132668,1
SRR10132666,1
SRR10132665,1
SRR10132664,1
SRR10132663,1
SRR10132662,1
SRR10132661,1
SRR10132660,1
SRR10132659,1
SRR10132658,1
SRR10132657,1
SRR10132655,1
SRR10132654,1
SRR10132653,1
SRR10132652,1
SRR10132651,1
SRR10132650,1
SRR10132649,1
SRR10132648,1
SRR10132647,1
SRR10132646,1
SRR10132644,1
SRR10132643,1
SRR10132642,1
SRR10132641,1
SRR10132640,1
SRR10132639,1
SRR10132638,1
SRR10132637,1
SRR10132636,1
SRR10132635,1
SRR10132632,1
SRR10132631,1
SRR10132630,1
SRR10132629,1
SRR10132628,1
SRR10132627,1
SRR10132626,1
SRR10132625,1
SRR10132624,1
SRR10132623,1
SRR10132621,1
SRR10132620,1
SRR10132619,1
SRR10132618,1
SRR10132617,1
SRR10132616,1
